Frequency,Magnitude,Phase
2.56,0.00214290389948337,-87.4209263600199
2.57,0.00221426880479711,-87.5815840620213
2.58,0.0020749907353089,-88.1769695680552
2.59,0.00204365029540916,-88.4351000429905
2.6,0.00204509035166373,-88.5491700025276
2.61,0.00202393006217092,-88.0062914533806
2.62,0.00203737782479902,-87.4735540328598
2.63,0.00211419943658164,-89.408948348397
2.64,0.00203444629640578,-90.6074437150382
2.65,0.00205180851475417,-90.9186801655082
2.66,0.00204034275361454,-90.7962397703535
2.67,0.00211537898629809,-89.2319703088345
2.68,0.00207328689405991,-89.5939126365788
2.69,0.00201955438984431,-89.4939534549557
2.7,0.00205429348670724,-90.4745683591842
2.71,0.00200131891568999,-88.4700699957626
2.72,0.00197086845424422,-90.9333931538507
2.73,0.0020503004919729,-90.2955950303091
2.74,0.00204819718959392,-90.4831710823948
2.75,0.00199029589415216,-91.7341556141954
2.76,0.0020431004433196,-89.9164493399031
2.77,0.00224462827944307,-83.226051236789
2.78,0.00202425397888965,-88.0394693136125
2.79,0.00204328818780496,-93.0572537486963
2.8,0.00213133750109355,-91.5576918635595
2.81,0.00197595242356186,-90.5960063809405
2.82,0.00208333921488548,-89.9741885006784
2.83,0.0020017633427736,-91.4891119621215
2.84,0.0020600559364883,-87.9104306997158
2.85,0.00195009874323432,-91.0016669325786
2.86,0.00215333876260972,-90.8699031343283
2.87,0.0018837219483482,-90.153494859395
2.88,0.00196431130466561,-90.3094846998429
2.89,0.00198221599693914,-92.1525739202934
2.9,0.00201515118988146,-89.2562925438464
2.91,0.00196864410827949,-92.002255230958
2.92,0.00193281911843188,-88.414068022487
2.93,0.0028112682594637,-85.1216999882801
2.94,0.00208629177908408,-94.9471352912303
2.95,0.00198649289327958,-90.0672484787777
2.96,0.00199421881078217,-92.6459819326937
2.97,0.00200593808609797,-91.4506627347255
2.98,0.00200962753270932,-92.8187191726349
2.99,0.00194697495744059,-91.8984445329892
3,0.00200859813275483,-91.9420542888225
3.01,0.00191340717004091,-92.3753403693547
3.02,0.00193751647714637,-92.0121696616933
3.03,0.00190424837055496,-89.2899189545494
3.04,0.001904937041745,-90.9364027245436
3.05,0.00199038409204519,-91.2351304914526
3.06,0.00199257278107531,-92.9668972915698
3.07,0.00197092329828807,-93.2358799862794
3.08,0.00195792939945409,-93.7479962958651
3.09,0.00199197508184103,-94.2378428778608
3.1,0.00205580522151904,-93.32516879399
