Time,Force,Velocity
45.57,-76.5993299557446,0.0128396220452151
45.575,29.3799190440902,0.0108595363281466
45.58,0.846674814559984,0.00807603785801075
45.585,-40.2480813761651,0.00670696947107285
45.59,0.291553809550711,0.00701530945651289
45.595,-17.7010056262463,0.00771313869515082
45.6,10.0200873905992,0.00831992161797561
45.605,-15.3892098654286,0.0084077641822609
45.61,1.43425142176905,0.00824281911246684
45.615,-1.11489810153757,0.00770919365115702
45.62,8.88768403673369,0.00721130483126536
45.625,-14.1387558702768,0.00714385806745244
45.63,-11.0924790221546,0.00759672044589944
45.635,21.2410508687918,0.0077769516593556
45.64,-20.9700924519159,0.00750455441734919
45.645,59.3809658280991,0.0071885283107811
45.65,-5.96724793783417,0.00705410559486643
45.655,-2.59713085118251,0.0085200492645536
45.66,22.2631159732899,0.0104639052552986
45.665,13.7653345899015,0.0118897029197129
45.67,21.6956125493574,0.0127751415685977
45.675,-8.05903677670863,0.0132683446522315
45.68,-13.5052121250363,0.0134976760961266
45.685,-16.5912910773719,0.0127979011763387
45.69,41.4785260276948,0.0107345908999609
45.695,-33.2112038247713,0.00817492050795376
45.7,-18.8351665767025,0.00679855429392189
45.705,-34.0386686117748,0.0057287113208025
45.71,29.0126022260205,0.00406238538148811
45.715,5.47817949004564,0.0016894216522407
45.72,-1.63612399305026,0.000289998303590967
45.725,24.5108789920663,0.000290163205024727
45.73,-10.2506072178136,0.00147480233788538
45.735,2.17027439136079,0.00342167866948265
45.74,18.2611586237742,0.00468274547510529
45.745,-6.73589150756826,0.00480157292760725
45.75,10.2941609751258,0.00411611564815488
45.755,21.3153695636913,0.00285654217699159
45.76,-32.9635936750113,0.00205593941303182
45.765,53.3701218584783,0.00210480955817324
45.77,42.970166846468,0.00254393185512124
45.775,14.5993351192353,0.00500384567926791
45.78,2.48047975016559,0.00961483165934378
45.785,-12.0407692954019,0.0145660748294778
45.79,23.1381785160999,0.0175895612874109
45.795,0.494134258246669,0.0176579701242451
45.8,17.3609162150377,0.0159555203639654
45.805,3.36018458393788,0.0140094759276063
45.81,-3.93394521364259,0.0135030312735343
45.815,-18.0570864754127,0.0148032381354728
45.82,8.73142420565366,0.0169875285693616
45.825,-3.50925501790298,0.0187788135013488
45.83,-22.6140512015685,0.01982880738017
45.835,-38.2006040824411,0.0196596320520051
45.84,-0.695649629904068,0.0176165962774544
45.845,-7.82359080666503,0.0139204788044932
45.85,-21.1903281944622,0.0103954712767695
45.855,-6.10575818755648,0.00820851643306506
45.86,-34.3634662486343,0.00746725027388717
